track_name,album_name,artist_names,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track
niagara falls (foot or 2) [with travis scott & 21 savage],HEROES & VILLAINS,metro boomin,2022-12-02,USUG12208792,1191,43.4,325654069.0,108296,18764224,71,21886334,217873,,3,19,7326120,15,311,,4,73801,6,2079133,1461,,660445,,1
volvï¿,La mï¿½ï¿½sica de @Gina Yei: #ConTodoElCorazï¿½ï¿½nYMï¿½ï¿½s (Banda Sono,didi romero,2023-01-11,QZTJ32100010,1192,43.4,47586.0,60,2805,,543509003,3372617,,,,560891372,,,,,,,,,,136,,0
you're really funny,Rly Funny - EP,crocodyle,2022-11-11,QMEU32216759,1190,43.4,,9,31,,631421040,3549192,,,,,,6,,,,,,,,45,,0
earned it (fifty shades of grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),the weeknd,2015-02-10,USUG11500923,1195,43.4,1667089416.0,97707,24754802,69,955666073,8354260,331766,121101434,1048617583,203635578,26,,91,11,278161,20,1063784773,693592,13875776,,,1
gucci gang,Gucci Gang,lil pump,2017-08-31,USWB11701486,1189,43.4,648757330.0,66961,13429975,55,1402505864,15657910,1404568,27119678,243585831,200186337,62,13516,6,20,52013,5,79188658,496624,,2724063,,1
la bebe,LPM,yng lvcas,2021-12-24,QZTAT2174000,1198,43.3,255707376.0,35404,4489095,64,132383657,926647,3955024,237343814,3229349729,,4,3835,44,,,2,1505248,8802,,1296219,,1
jaded,Endless Summer Vacation,miley cyrus,2023-03-10,USSM12209778,1197,43.3,173349210.0,22117,9481406,65,69971780,926126,12719,7349390,120314198,24140873,40,225522,416,41,782200,20,56973358,6891,,,,1
bye,Bye,peso pluma,2023-05-26,QM6P42321186,1196,43.3,252239644.0,24974,6379185,65,157154307,1031138,408410,96001756,1121997176,,35,692,,3,132211,11,18131311,9970,,415733,,1
l$d,Deaf 2 Society,luclover,2022-04-22,QZHN42243265,1199,43.3,34621941.0,15846,2877860,36,4019929,89953,5003856,589943665,5720070197,86746342,1,261,734,2,25486,3,250124,597,,539017,,1
wolves,Wolves,selena gomez,2017-10-25,USUM71712103,1200,43.3,1358424406.0,123735,33188573,71,930929767,8736302,961584,29990673,253791542,360395375,116,104652,14,53,382928,33,172588260,120004,17138164,7290982,,0
scars to your beautiful,Know-It-All,alessia cara,2015-11-13,USUM71506811,1201,43.2,1422563654.0,129568,38951634,71,710718042,9930759,4732710,104484107,736544909,461321746,138,171774,288,39,217966,26,462206026,174621,19565726,113684,,0
fri(end)s,FRI(END)S,v,2024-03-15,USA2P2411822,1203,43.2,196612187.0,3800,44868049,85,38102046,2794580,,2941,26700,119265847,16,5014,95,33,11190250,11,1934224,135,,226475,,0
surface pressure,Encanto (Original Motion Picture Soundtrack),jessica darrow,2021-11-19,USWD12112914,1204,43.2,318018082.0,41062,14552186,65,580242930,3471774,103897,128850291,1100134488,67010140,35,2041,155,1,10044,18,49383663,66811,2375505,466130,,0
volver al futuro,Volver Al Futuro,oscar maydon,2024-05-30,QZ9QQ2400330,1202,43.2,25593926.0,1247,63521139,78,7493616,162691,,,,,18,,,10,1604245,9,68326,56,1742,33433,,0
praise god,Donda,kanye west,2021-08-29,USUM72116287,1208,43.1,451323154.0,143071,22968843,67,75632640,1192980,1232812,540795852,4707280248,144247309,24,1395,182,10,38020,25,14923065,9847,,3075257,,0
friesenjung,Friesenjung,ski aggu,2023-05-25,DE1FB2300037,1205,43.1,150508549.0,70377,9755773,70,31956891,485999,,,,54635920,24,5723,,12,67068,4,,,,703536,,1
el azul,El Azul - Single,junior h,2023-02-10,QZ9QQ2300115,1206,43.1,684103586.0,42304,22784674,76,125144381,583066,433800,68202730,622470844,445229053,37,112,2,4,1164409,9,10305981,2327,,764296,,0
earfquake,IGOR,"tyler, the creator",2019-05-17,USQX91901111,1207,43.1,962546385.0,198786,34308753,76,262134097,4025958,55093,46126757,247993418,14944702,106,1834,1,52,709963,38,10998403,48358,47720548,1242490,,1
ya supï¿½ï¿½rame (en v,Ya Supï¿½ï¿½rame (En Vivo) - Si,grupo firme,2021-08-13,QZDQH2148787,1210,43.0,347218974.0,34933,16279085,57,662346628,2983631,163723,31953097,394751759,59180203,23,9924,312,2,6546,38,76029663,61601,,1337426,,0
if u think i'm pretty,if u think i'm pretty,artemas,2023-10-24,QZTB92397158,1212,43.0,219995278.0,26538,17112526,78,25556375,392029,277500,83793501,561266399,17454770,18,1072,42,12,129691,10,284934,750,,757462,,1
fin de semana,Fin de Semana,oscar maydon,2023-01-13,QZ9QQ2300040,1211,43.0,568846143.0,38126,18723665,76,209204080,876672,4469,2225214,19351144,,25,275,,4,1270150,8,26957938,5256,2173263,896673,,0
everybody (feat. lil uzi vert),Pink Friday 2,nicki minaj,2023-12-07,USUM72318678,1209,43.0,114947522.0,1384,280996,,,,,,,,10,172988,,,,,,,,,,0
every breath you take,Learned from Love,bonnie kimmel,2017-05-26,ES8481701126,1215,42.9,,,,,,,,,,,,,,,,,,,,171902000,,0
my oh my (feat. dababy),Romance,camila cabello,2019-12-06,USSM11914257,1218,42.9,703865912.0,78873,23552368,68,344504691,5473016,1434048,288727576,2298790080,262934830,74,243345,170,41,101125,21,136780685,92037,16327957,3703911,,0
forever after all,What You See Ain't Always What You Get (Deluxe Edition),luke combs,2020-10-23,US6XF2000192,1217,42.9,472886929.0,66543,14596512,70,247466941,1347724,412458,53390196,454676514,523499656,71,272994,35,9,18449,22,336822010,60046,,1332172,,0
fried (she a vibe),WE DON'T TRUST YOU,future,2024-03-22,USSM12402032,1216,42.9,33224742.0,8465,12808538,,6259257,65528,,,,125856157,8,483,,1,83,8,456992,1445,2864129,232391,,1
123 song,123 Song,d billions,2019-10-23,FR96X1996525,1214,42.9,628692.0,98,14910,23,1754170433,3004414,458,12632,669921,,,,,,,,,,,9438,,0
hello (feat. a boogie wit da hoodie),Shoot For The Stars Aim For The Moon (Deluxe),pop smoke,2020-07-20,USUM72014370,1213,42.9,578061816.0,190490,26875379,67,261251373,2123833,180506,25346506,259813719,4811371,28,34512,121,10,7293,,111230354,29805,,2481910,,1
